exp,myvar,citation,full_reference,X,bibtexkey
dwingeloo_c,agb,heijmans_et_al_2001b,hoosbeek_mr_van_breemen_n_vasander_h_buttler_a_berendse_f_2002_potassium_limits_potential_growth_of_bog_vegetation_under_elevated_atmospheric_co2_and_n_deposition_global_change_biology_8_1130-1138,NA,@heijmans_et_al_2001b
dwingeloo_c,agb,heijmans_et_al_2001a,hoosbeek_mr_van_breemen_n_vasander_h_buttler_a_berendse_f_2002_potassium_limits_potential_growth_of_bog_vegetation_under_elevated_atmospheric_co2_and_n_deposition_global_change_biology_8_1130-1138,NA,@heijmans_et_al_2001a
dwingeloo_c,anpp,heijmans_et_al_2001b,hoosbeek_mr_van_breemen_n_vasander_h_buttler_a_berendse_f_2002_potassium_limits_potential_growth_of_bog_vegetation_under_elevated_atmospheric_co2_and_n_deposition_global_change_biology_8_1130-1138,NA,@heijmans_et_al_2001b
eth_face_c,bgb,ineson_et_al_1996,ineson_p_cotrufo_mf_bol_r_harkness_dd_blum_h_1996_quantification_of_soil_carbon_inputs_under_elevated_co2:c-3_plants_in_a_c-4_soil_plant_and_soil_187_345-350,NA,@ineson_et_al_1996
eucface_c,n_inorg,NA,NA,NA,NA
euroface_pa_c,root_production,NA,NA,NA,NA
euroface_pa_c,leaf_n_mass,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pa_c,leaf_n_area,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pe_c,vcmax,calfapietra_et_al_2004,calfapietra_c_tulva_i_eensalu_e_perez_m_de_angelis_p_scarascia-mugnozza_g_kull_o_2005_canopy_profiles_of_photosynthetic_parameters_under_elevated_co2_and_n_fertilization_in_a_poplar_plantation_environmental_pollution_137:525ñ535,NA,@calfapietra_et_al_2004
euroface_pe_c,asat,calfapietra_et_al_2004,calfapietra_c_tulva_i_eensalu_e_perez_m_de_angelis_p_scarascia-mugnozza_g_kull_o_2005_canopy_profiles_of_photosynthetic_parameters_under_elevated_co2_and_n_fertilization_in_a_poplar_plantation_environmental_pollution_137:525ñ535,NA,@calfapietra_et_al_2004
euroface_pe_c,root_production,NA,NA,NA,NA
euroface_pe_c,leaf_n_mass,calfapietra_et_al_2004,calfapietra_c_tulva_i_eensalu_e_perez_m_de_angelis_p_scarascia-mugnozza_g_kull_o_2005_canopy_profiles_of_photosynthetic_parameters_under_elevated_co2_and_n_fertilization_in_a_poplar_plantation_environmental_pollution_137:525ñ535,NA,@calfapietra_et_al_2004
