exp,myvar,citation
euroface_pe_c,jmax,hovenden_2003
euroface_pe_c,jmax,liberloo_et_al_2007
euroface_pe_c,jmax,calfapietra_et_al_2004
euroface_pe_c,jmax,bernacchi_et_al_2003
euroface_pe_c,jmax,wittig_et_al_2005
euroface_pn_c,bgb,lukac_et_al_2003
euroface_pn_c,bgb,liberloo_et_al_2006
euroface_pn_c,bgb,gielen_et_al_2005
euroface_pn_c,bgb,calfapietra_et_al_2003
euroface_pn_c,lai,gielen_et_al_2001
euroface_pn_c,lai,finzi_et_al_2007
euroface_pn_c,root_shoot_ratio,liberloo_et_al_2006
euroface_pn_c,root_shoot_ratio,calfapietra_et_al_2003
euroface_pn_c,root_shoot_ratio,gielen_et_al_2005
euroface_pn_c,agb,gielen_et_al_2005
euroface_pn_c,agb,calfapietra_et_al_2003
euroface_pn_c,agb,liberloo_et_al_2005
euroface_pn_c,vcmax,hovenden_2003
euroface_pn_c,vcmax,liberloo_et_al_2007
euroface_pn_c,vcmax,bernacchi_et_al_2003
euroface_pn_c,vcmax,wittig_et_al_2005
euroface_pn_c,anpp,liberloo_et_al_2004
euroface_pn_c,anpp,finzi_et_al_2007
euroface_pn_c,anpp,liberloo_et_al_2005
euroface_pn_c,asat,bernacchi_et_al_2003
euroface_pn_c,asat,hovenden_2003
euroface_pn_c,root_production,NA
euroface_pn_c,gpp,wittig_et_al_2005
euroface_pn_c,leaf_n_mass,calfapietra_et_al_2007
euroface_pn_c,leaf_n_mass,finzi_et_al_2007
euroface_pn_c,leaf_n_mass,gielen_et_al_2003a
euroface_pn_c,leaf_n_mass,liberloo_et_al_2007
euroface_pn_c,leaf_n_mass,luo_et_al_2008
euroface_pn_c,leaf_n_mass,tricker_et_al_2004
euroface_pn_c,leaf_n_area,finzi_et_al_2007
euroface_pn_c,leaf_n_area,gielen_et_al_2003a
euroface_pn_c,leaf_n_area,liberloo_et_al_2007
euroface_pn_c,leaf_n_area,tricker_et_al_2004
euroface_pn_c,jmax,hovenden_2003
euroface_pn_c,jmax,liberloo_et_al_2007
euroface_pn_c,jmax,bernacchi_et_al_2003
euroface_pn_c,jmax,wittig_et_al_2005
euroface_pooled_c,agb,liberloo_et_al_2005
euroface_pooled_c,bgb,liberloo_et_al_2007
euroface_pooled_c,bgb,liberloo_et_al_2009
euroface_pooled_c,bgb,lagomarsino_et_al_2013
euroface_pooled_c,bgb,lagomarsino_et_al_2009
euroface_pooled_c,n_inorg,NA
euroface_pooled_c,lai,liberloo_et_al_2005
euroface_pooled_c,n_uptake,NA
euroface_pooled_c,root_shoot_ratio,gielen_et_al_2005
for_32.6_-85.5_c,agb,pritchard_et_al_2001
for_32.6_-85.5_c,bgb,pritchard_et_al_2001
giface_c,agb,lenhart_2008
giface_c,agb,haworth_et_al_2016
giface_c,agb,kammann_et_al_2005
giface_c,bgb,lenhart_2008
giface_c,vcmax,haworth_et_al_2016
giface_c,n_inorg,NA
giface_c,jmax,haworth_et_al_2016
glencorse_c,agb,rey_and_jarvis_1997
glencorse_c,bgb,rey_and_jarvis_1997
guangzhou_c,asat,liu_et_al_2011
guangzhou_c,leaf_n_mass,liu_et_al_2011
hohenheimface_2006_c,anpp,hoegy_et_al_2010
horsham_face10d_c,asat,tausz-posch_et_al_2013a
horsham_face10h_c,asat,tausz-posch_et_al_2013a
horsham_face10h45_c,leaf_n_area,tausz-posch_et_al_2015
horsham_face10h45_c,leaf_n_area,thilakarathne_et_al_2014
horsham_face10h45_c,anpp,thilakarathne_et_al_2014
horsham_face10h45_c,anpp,thilakarathne_et_al_2015
horsham_face10y_c,leaf_n_area,thilakarathne_et_al_2014
horsham_face10y_c,anpp,thilakarathne_et_al_2014
horsham_face10y_c,anpp,thilakarathne_et_al_2015
horsham_face13s_c,agb,houshmandfar_et_al_2016
horsham_face13y_c,agb,houshmandfar_et_al_2016
horsham_face14s_c,agb,houshmandfar_et_al_2016
horsham_face14s_c,agb,bahrami_et_al_2017
horsham_face14y_c,agb,houshmandfar_et_al_2016
horsham_face9hl_c,asat,tausz-posch_et_al_2013a
horsham_face9hn_c,asat,tausz-posch_et_al_2013a
horsham_face9yl_c,asat,tausz-posch_et_al_2013a
horsham_face9yn_c,asat,tausz-posch_et_al_2013a
horsham_face9yn_c,anpp,lam_et_al_2013
ipe_otc_cambisol_c,anpp,schutz_and_fangmeier_2001
ipe_otc_chernosem_c,anpp,schutz_and_fangmeier_2001
jrbp_face_c,anpp,dukes_et_al_2005
jrbp_face_c,anpp,henry_et_al_2006
jrbp_face_c,anpp,zavaleta_et_al_2003
jrbp_face_c,bgb,dukes_et_al_2005
jrbp_face_c,bgb,shaw_et_al_2002
jrbp_face_c,agb,shaw_et_al_2002
jrbp_face_c,agb,dukes_et_al_2005
jrbp_face_c,agb,henry_et_al_2006
jrbp_face_c,agb,henry_et_al_2005
jrbp_face_c,root_production,dukes_et_al_2005
jrbp_face_c,root_production,henry_et_al_2006
jrbp_face_c,root_shoot_ratio,dukes_et_al_2005
jrbp_otc_c,bgb,hungate_et_al_1997
jrbp_otc_c,bgb,moore_and_field_2006
jrbp_otc_c,bgb,jackson_and_reynolds_1996
jrbp_otc_c,bgb,higgins_et_al_2002
jrbp_otc_c,agb,hungate_et_al_1997
jrbp_otc_c,agb,moore_and_field_2006
jrbp_otc_c,agb,jackson_et_al_1995
jrbp_otc2sand_c,bgb,rillig_et_al_1999
jrbp_otc2sand_c,bgb,hungate_et_al_1997
jrbp_otc2sand_c,agb,hungate_et_al_1997
jrbp_otc2ser_c,bgb,rillig_et_al_1999
jrbp_otc2ser_c,bgb,hungate_et_al_1997
jrbp_otc2ser_c,agb,hungate_et_al_1997
jrbp_otcsand_c,root_shoot_ratio,cardon_et_al_2001
jrbp_otcsand_c,bgb,cardon_et_al_2001
jrbp_otcsand_c,agb,cardon_et_al_2001
jrbp_otcser_c,root_shoot_ratio,cardon_et_al_2001
jrbp_otcser_c,bgb,cardon_et_al_2001
jrbp_otcser_c,agb,cardon_et_al_2001
kopparasmyren_c,agb,berendse_et_al_2001
kopparasmyren_c,agb,hoosbeek_et_al_2001
kopparasmyren_c,bgb,hoosbeek_et_al_2001
kopparasmyren_c,bgb,berendse_et_al_2001
maricopaface_cotton89_c,agb,wood_et_al_1994
maricopaface_cotton89_c,bgb,wood_et_al_1994
maricopaface_cotton91_c,lai,mauney_et_al_1994
maricopaface_cotton91_c,root_shoot_ratio,mauney_et_al_1994
maricopaface_sorghum_cotton99_hd_c,agb,derner_et_al_2003
maricopaface_sorghum_cotton99_hd_c,bgb,derner_et_al_2003
maricopaface_sorghum_cotton99_ld_c,agb,derner_et_al_2003
maricopaface_sorghum_cotton99_ld_c,bgb,derner_et_al_2003
maricopaface_sorghum98_c,agb,grant_et_al_2004
maricopaface_sorghum98_c,agb,ottman_et_al_2000
maricopaface_sorghum98_c,agb,ottman_et_al_2001
maricopaface_sorghum98_c,agb,conley_et_al_2001
maricopaface_sorghum98_c,lai,ottman_et_al_2001
maricopaface_sorghum99_c,agb,grant_et_al_2004
maricopaface_sorghum99_c,agb,derner_et_al_2003
maricopaface_sorghum99_c,agb,conley_et_al_2001
maricopaface_sorghum99_c,agb,ottman_et_al_2001
maricopaface_sorghum99_c,lai,derner_et_al_2003
maricopaface_sorghum99_c,lai,ottman_et_al_2001
maricopaface_wheat93_c,agb,tubiello_et_al_1999
maricopaface_wheat93_c,agb,grossman-clarke_et_al_2001
maricopaface_wheat93_c,agb,asseng_et_al_2004
maricopaface_wheat93_c,agb,kimball_et_al_1995
maricopaface_wheat93_c,agb,wall_et_al_2006
maricopaface_wheat93_c,lai,asseng_et_al_2004
maricopaface_wheat93_c,lai,grossman-clarke_et_al_1999
maricopaface_wheat93_c,lai,kimball_et_al_1995
maricopaface_wheat93_c,leaf_n_mass,sinclair_et_al_2000
maricopaface_wheat93_c,root_production,wall_et_al_2006
maricopaface_wheat93_c,anpp,wall_et_al_2006
maricopaface_wheat93_c,anpp,wall_et_al_2001
maricopaface_wheat94_c,root_shoot_ratio,wall_et_al_2006
maricopaface_wheat94_c,lai,manunta_et_al_2002
maricopaface_wheat94_c,lai,pinter_et_al_2000
maricopaface_wheat94_c,lai,kimball_et_al_1995
maricopaface_wheat94_c,agb,wall_et_al_2006
maricopaface_wheat94_c,agb,aggeng_et_al_2004
maricopaface_wheat94_c,agb,pinter_et_al_2000
maricopaface_wheat94_c,agb,tubiello_et_al_1999
maricopaface_wheat94_c,agb,asseng_et_al_2004
maricopaface_wheat94_c,agb,kimball_et_al_1995
maricopaface_wheat94_c,root_production,wall_et_al_2006
maricopaface_wheat94_c,anpp,wall_et_al_2006
mbs_pe_c,agb,pregitzer_et_al_1995
mbs_pe_c,bgb,pregitzer_et_al_1995
mbs_pe_c,root_shoot_ratio,pregitzer_et_al_1995
mbs_pg_c,root_shoot_ratio,zak_et_al_1993
mbs_pg_c,agb,zak_et_al_1993
mbs_pg_c,bgb,zak_et_al_1993
mbs_pt_c,agb,mikan_et_al_2000
mbs_pt_c,bgb,mikan_et_al_2000
mbs_pt_c,root_shoot_ratio,mikan_et_al_2000
mbs_pt2_c,bgb,pregitzer_et_al_2000
mbs_pt4_as_c,bgb,NA
mbs_pt4_pt_c,bgb,NA
mi_c,agb,dijkstra_et_al_2002
mi_c,agb,day_et_al_2013
mi_c,agb,hungate_et_al_2013
mi_c,anpp,dijkstra_et_al_2002
mi_c,bgb,brown_et_al_2007
mi_c,bgb,brown_et_al_2009
mi_c,bgb,langley_et_al_2003
mi_c,bgb,day_et_al_2013
mi_c,bgb,hungate_et_al_2013
mi_c,root_production,langley_et_al_2003
montalto_di_castro_c,bgb,NA
nantuna_c,agb,marissink_et_al_2002
nantuna_c,bgb,sindhoj_et_al_2006
nevada_desert_face_c,agb,smith_et_al_2014
nevada_desert_face_c,agb,housman_et_al_2006
nevada_desert_face_c,agb,newingham_et_al_2013
nevada_desert_face_c,agb,smith_et_al_2000
nevada_desert_face_c,agb,evans_et_al_2014
nevada_desert_face_c,vcmax,huxman_and_smith_2001
nevada_desert_face_c,vcmax,naumburg_et_al_2003
nevada_desert_face_c,vcmax,aranjuelo_et_al_2011
nevada_desert_face_c,anpp,smith_et_al_2000
nevada_desert_face_c,asat,aranjuelo_et_al_2011
nevada_desert_face_c,asat,hamerlynck_et_al_2000
nevada_desert_face_c,asat,huxman_and_smith_2001
nevada_desert_face_c,bgb,evans_et_al_2014
nevada_desert_face_c,bgb,newingham_et_al_2013
nevada_desert_face_c,root_production,NA
nevada_desert_face_c,leaf_cn,billings_et_al_2003
nevada_desert_face_c,leaf_n_mass,billings_et_al_2003
nevada_desert_face_c,leaf_n_mass,billings_et_al_2004
nevada_desert_face_c,leaf_n_mass,huxman_and_smith_2001
nevada_desert_face_c,jmax,huxman_and_smith_2001
