"exp","myvar","citation","full_reference","X","bibtexkey"
"biocon_c","bgb","reich_et_al_2001","reich_pb_knops_j_tilman_d_craine_j_ellsworth_d_tjoelker_m_et_al_2001_plant_diversity_enhances_ecosystem_responses_to_elevated_co2_and_nitrogen_deposition_nature_410_809-812",NA,"@reich_et_al_2001"
"biocon_c","anpp","adair_et_al_2009","adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052",NA,"@adair_et_al_2009"
"biocon_c","agb","lau_et_al_2007","lau_ja_shaw_rg_reich_pb_shaw_rs_tiffin_p_2007_strong_ecological_but_weak_evolutionary_effects_of_elevated_co2_on_a_recombinant_inbred_population_of_arabidopsis_thaliana_new_phytologist_175:_351-362",NA,"@lau_et_al_2007"
"biocon_c","agb","lau_et_al_2009","lau_ja_tiffin_p_2009_elevated_carbon_dioxide_concentrations_indirectly_affect_plant_fitness_by_altering_plant_tolerance_to_herbivory_oecologia_161:_401-410",NA,"@lau_et_al_2009"
"biocon_c","agb","west_et_al_2005","west_jb_hillerislambers_j_lee_td_hobbie_se_reich_pb_2005_legume_species_identity_and_soil_nitrogen_supply_determine_symbiotic_nitrogen?fixation_responses_to_elevated_atmospheric_[co2] new_phytologist 1672:_523-530",NA,"@west_et_al_2005"
"biocon_c","vcmax","ali_et_al_2013","ali_aa_medlyn_be_crous_ky_reich_pb_2013_a_trait?based_ecosystem_model_suggests_that_long?term_responsiveness_to_rising_atmospheric_co2_concentration_is_greater_in_slow?growing_than_fast?growing_plants functional_ecology 274:_1011-1022",NA,"@ali_et_al_2013"
"biocon_c","asat","tjoelker_et_al_2005","tjoelker_mg_craine_jm_wedin_d_reich_pb_tilman_d_2005_linking_leaf_and_root_trait_syndromes_among_39_grassland_and_savannah_species new_phytologist 1672:_493-508",NA,"@tjoelker_et_al_2005"
"biocon_c","asat","lee_et_al_2001","lee_td_tjoelker_mg_ellsworth_ds_reich_pb_2001_leaf_gas_exchange_responses_of_13_prairie_grassland_species_to_elevated_co2_and_increased_nitrogen_supply new_phytologist 1502:_405-418",NA,"@lee_et_al_2001"
"biocon_c","asat","lee_et_al_2011","lee_td_barrott_sh_reich_pb_2011_photosynthetic_responses_of_13_grassland_species_across_11_years_of_free?air_co2_enrichment_is_modest_consistent_and_independent_of_n_supply_global_change_biology_179:_2893-2904",NA,"@lee_et_al_2011"
"biocon_c","asat","strengbom_and_reich_2006","strengbom_j_reich_pb_2006_elevated_[co_2]_and_increased_n_supply_reduce_leaf_disease_and_related_photosynthetic_impacts_on_solidago_rigida_oecologia_1493:_519-525",NA,"@strengbom_and_reich_2006"
"birmensdorf_a_c","bgb","hagedorn_et_al_2003","hagedorn_f_spinnler_d_bundt_m_blaser_p_siegwolf_r_2003_the_input_and_fate_of_new_c_in_two_forest_soils_under_elevated_co2_global_change_biology_9_862-872",NA,"@hagedorn_et_al_2003"
"birmensdorf_a_c","bgb","spinnler_et_al_2002","spinnler_d_egli_p_and_koerner_c_four-year_growth_dynamics_of_beech-spruce_model_ecosystems_under_co2_enrichment_on_two_different_forest_soils_trees_16_423-436_2002",NA,"@spinnler_et_al_2002"
"chaux-des-breuleux_c","agb","berendse_et_al_2001","berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001",NA,"@berendse_et_al_2001"
"chaux-des-breuleux_c","bgb","hoosbeek_et_al_2001","hoosbeek_m_r_van_breemen_n_berendse_f_grosvernier_p_vasander_h_and_wallen_b_limited_effect_of_increased_atmospheric_co2_concentration_on_ombrotrophic_bog_vegetation_new_phytol_150_459-463_2001",NA,"@hoosbeek_et_al_2001"
"clermont_c","agb","bloor_et_al_2010","bloor_j_m_g_pichon_p_falcimagne_r_leadley_p_and_soussana_j_f_effects_of_warming_summer_drought_and_co2_enrichment_on_aboveground_biomass_production_flowering_phenology_and_community_structure_in_an_upland_grassland_ecosystems_13_888-900_2010",NA,"@bloor_et_al_2010"
"climaite_c","agb","andresen_et_al_2009","andresen_lc_michelsen_a_jonasson_s_beier_c_ambus_p_2009_glycine_uptake_in_heath_plants_and_soil_microbes_responds_to_elevated_temperature_co2_and_drought_acta_oecologica_35_786–796",NA,"@andresen_et_al_2009"
"climaite_c","agb","andresen_et_al_2010","andresen_lc_michelsen_a_ambus_p_beier_c_2010_belowground_heathland_responses_after_2_years_of_combined_warming_elevated_co2_and_summer_drought_biogeochemistry_101_27–42",NA,"@andresen_et_al_2010"
"climaite_c","agb","kongstad_et_al_2012","kongstad_j_schmidt_ik_riis-nielsen_t_arndal_mf_mikkelsen_tn_beier_c_2012_high_resilience_in_heathland_plants_to_changes_in_temperature_drought_and_co2_in_combination:_results_from_the_climaite_experiment_ecosystems_15_269–283",NA,"@kongstad_et_al_2012"
"climaite_c","bgb","dam_and_christensen_2015","dam_m_christensen_s_2015_defoliation_reduces_soil_biota_–_and_modifies_stimulating_effects_of_elevated_co2_ecol_evol_5:4840–4848_doi:_101002/ece31739",NA,"@dam_and_christensen_2015"
"climaite_c","bgb","arndal_et_al_2014","arndal_m_f_schmidt_i_k_kongstad_j_beier_c_and_michelsen_a_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41_1-10_2014",NA,"@arndal_et_al_2014"
"climaite_c","vcmax","boesgaard_and_ro-poulsen_2013","boesgaard_ks_ro-poulsen_h_2013_long-term_ecophysiological_responses_to_climate_change_phd_dissertation_kgs_lyngby:_technical_university_of_denmark",NA,"@boesgaard_and_ro-poulsen_2013"
"climaite_c","asat","albert_et_al_2011a","albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207–1222_doi:_101111/j136",NA,"@albert_et_al_2011a"
"climaite_c","root_production","arndal_et_al_2013a","arndal_mf_merrild_mp_michelsen_a_et_al_2013_net_root_growth_and_nutrient_acquisition_in_response_to_predicted_climate_change_in_two_contrasting_heathland_species_plant_and_soil_369:615–629_doi:_101007/s11104-013-1601-8",NA,"@arndal_et_al_2013a"
"climaite_c","root_production","arndal_et_al_2018","arndal_mf_tolver_a_larsen_ks_et_al_2018_fine_root_growth_and_vertical_distribution_in_response_to_elevated_co2_warming_and_drought_in_a_mixed_heathland–grassland_ecosystems_1–16_doi:_101007/s10021-017-0131-2",NA,"@arndal_et_al_2018"
"cper_c","agb","morgan_et_al_2004","morgan_j_a_et_al_co2_enhances_productivity_alters_species_composition_and_reduces_digestibility_of_shortgrass_steppe_vegetation_ecol_appl_14_208-219_2004",NA,"@morgan_et_al_2004"
"cper_c","agb","king_et_al_2004","king_j_et_al_plant_nitrogen_dynamics_in_shortgrass_steppe_under_elevated_atmospheric_carbon_dioxide_ecosystems_7_147-160_2004",NA,"@king_et_al_2004"
"cper_c","bgb","milchunas_et_al_2005","milchunas_d_et_al_root_production_and_tissue_quality_in_a_shortgrass_steppe_exposed_to_elevated_co2:_using_a_new_ingrowth_method_plant_soil_268_111-122_2005",NA,"@milchunas_et_al_2005"
"cper_c","gpp","bachman_et_al_2010","bachman_s_et_al_elevated_carbon_dioxide_alters_impacts_of_precipitation_pulses_on_ecosystem_photosynthesis_and_respiration_in_a_semi-arid_grassland_oecologia_162_791-802_2010",NA,"@bachman_et_al_2010"
"dri_c","bgb","johnson_et_al_1994","johnson_et_al_1994_soil_pco2_soil_respiration_and_root_activity_in_co2-fumigated_and_nitrogen-fertilized_ponderosa_pine_plant_and_soil_165_129-138",NA,"@johnson_et_al_1994"
"dri_c","bgb","phillips_et_al_2006","phillips_dl_johnson_mg_tingey_dt_storm_mj_ball_jt_johnson_dw_2006_co2_and_n-fertilization_effects_on_fine-root_length_production_and_mortality:_a_4-year_ponderosa_pine_study_oecologia_148_517-525",NA,"@phillips_et_al_2006"
"dri_c","bgb","walker_et_al_1997","walker_et_al_1997_elevated_atmospheric_co2_and_soil_n_fertility_effects_on_growth_mycorrhizal_colonization_and_xylem_water_potential_of_juvenile_ponderosa_pine_in_a_field_soil_plant_and_soil_195_25-36",NA,"@walker_et_al_1997"
"dri_c","bgb","vose_et_al_1995","vose_j_m_k_j_elliott_et_al_1995_""effects_of_elevated_co2_and_n_fertilization_on_soil_respiration_from_ponderosa_pine_pinus_ponderosa_in_open-top_chambers""_canadian_journal_of_forest_research-revue_canadienne_de_recherche_forestiere_25:_1243-1251",NA,"@vose_et_al_1995"
"dukeface_c","bgb","matamala_and_schlesinger_2000","matamala_and_schlesinger_2000_effects_of_elevated_atmospheric_co2_on_fine_root_production_and_activity_in_an_intact_temperate_forest_ecosystem_global_change_biology_6_967-979",NA,"@matamala_and_schlesinger_2000"
"dukeface_c","bgb","drake_et_al_2011","drake_je_gallet?budynek_a_hofmockel_ks_et_al_2011_increases_in_the_flux_of_carbon_belowground_stimulate_nitrogen_uptake_and_sustain_the_long?term_enhancement_of_forest_productivity_under_elevated_co2 ecology_letters 144:_349-357",NA,"@drake_et_al_2011"
"dukeface_c","bgb","hamilton_et_al_2002","hamilton_et_al_2002_forest_carbon_balance_under_elevated_co2_oecologia_131_250-260",NA,"@hamilton_et_al_2002"
"dukeface_c","bgb","jackson_et_al_2009","jackson_rb_cook_cw_pippen_js_palme_sm_2009_increased_belowground_biomass_and_soil_co2_fluxes_after_a_decade_of_carbon_dioxide_enrichment_in_a_warm?temperate_forest ecology 9012:_3352-3366",NA,"@jackson_et_al_2009"
"dukeface_c","bgb","taylor_et_al_2014","taylor_b_n_et_al_root_length_biomass_tissue_chemistry_and_mycorrhizal_colonization_following_14_years_of_co2_enrichment_and_6_years_of_n_fertilization_in_a_warm_temperate_forest_tree_physiol_34_955-965_2014",NA,"@taylor_et_al_2014"
"dukeface_c","root_production","pritchard_et_al_2008","pritchard_sg_strand_ae_mccormack_ml_et_al_2008_fine_root_dynamics_in_a_loblolly_pine_forest_are_influenced_by_free-air-co2-enrichment:_a_six-year-minirhizotron_study_global_change_biology_14_588-602",NA,"@pritchard_et_al_2008"
"dukeface_c","root_production","phillips_et_al_2011","phillips_r_p_finzi_a_c_and_bernhardt_e_s_2011_enhanced_root_exudation_induces_microbial_feedbacks_to_n_cycling_in_a_pine_forest_under_long?term_co2_fumigation ecology_letters 142_187-194",NA,"@phillips_et_al_2011"
"dukeface_c","leaf_n_mass","natali_et_al_2009","natali_sm_sanudo-wilhelmy_sa_lerdau_mt_2009_plant_and_soil_mediation_of_elevated_co2_impacts_on_trace_metals_ecosystems_12:_715-727",NA,"@natali_et_al_2009"
"dukeface_c","leaf_n_mass","hamilton_et_al_2004","hamilton_jg_zangeri_ar_berenbaum_mr_pippen_j_aldea_m_delucia_eh_2004_insect_herbivory_in_an_intact_forest_understory_under_experimental_co2_enrichment_oecologia_138:_566-573",NA,"@hamilton_et_al_2004"
"dukeface_c","leaf_n_mass","herrick_and_thomas_1998","herrick_jd_and_thomas_rb_1998_effects_of_co2_enrichment_on_the_photosynthetic_light_response_of_sun_and_shade_leaves_of_canopy_sweetgum_liquidambar_styraciflua_in_a_forest_ecosystem_tree_phsyiologu_19:_779-786",NA,"@herrick_and_thomas_1998"
"dukeface_c","leaf_n_mass","herrick_and_thomas_2003","herrick_jd_and_thomas_rb_2003_leaf_senescence_and_late-season_net_photosynthesis_of_sun_and_shade_leaves_of_overstory_sweetgum_liquidambar_styraciflua_grown_in_eevated_and_ambient_carbon_dioxide_concentrations_tree_physiology_23:_109-118",NA,"@herrick_and_thomas_2003"
"dukeface_c","leaf_n_mass","myers_et_al_1999","myers_da_thomas_rb_delucia_eh_1999_photosynthetic_capacity_of_loblolly_pine_pinus_taeda_l_trees_during_the_first_year_of_carbon_dioxide_enrichment_in_a_forest_ecosystem_plant_cell_and_environment_22:_473-481",NA,"@myers_et_al_1999"
